id,user_id,status,subtotal,discount_total,shipping_total,grand_total,currency,created_at,paid_at,cancelled_at
a00da6ef-4fb1-4001-9a59-734b379c17f5,db93c961-5f77-41d3-96d2-9b50eaabb3ab,paid,10000.00,0.00,0.00,10000.00,EUR,2025-09-14 14:35:21.225015+00,,
bec40d61-b213-42ea-8ad3-d4f5a2f94523,db93c961-5f77-41d3-96d2-9b50eaabb3ab,paid,999.99,0.00,0.00,999.99,EUR,2025-09-14 13:29:46.648063+00,,
1fc9494d-cc20-4e5f-83a5-38525e096169,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,246.90,0.00,0.00,246.90,EUR,2025-09-14 14:20:34.402571+00,,
f08c5f7d-6e70-4137-b072-9da60039929d,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 14:28:34.994943+00,,
6eb2d400-6509-427d-941e-8ef0d9cea063,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 14:30:01.080827+00,,
07ef0878-481e-48b1-ac99-276029a02970,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 14:30:14.645991+00,,
c841319a-dfd0-42e1-bb4c-173fca418423,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 17:26:24.603622+00,,
fd974aa4-4620-48fe-a8c3-ade56508d7cd,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 17:41:58.396724+00,,
fe75673f-3eb3-49d1-82bf-9f2866fd232a,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 17:42:09.423909+00,,
f6ae1513-2c68-4e58-8ac1-08b4ace3d95a,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,0.00,0.00,0.00,0.00,EUR,2025-09-14 17:42:30.377072+00,,
37781838-9399-459b-b8b0-2f08c94c4f2a,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,50000.00,0.00,0.00,50000.00,EUR,2025-09-14 18:19:59.615565+00,,
2ba1607c-d94e-413f-bfe7-06e19b6db43c,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,99.99,0.00,0.00,99.99,EUR,2025-09-14 18:20:21.54663+00,,
92742fbb-0c55-40cb-88eb-333076957928,db93c961-5f77-41d3-96d2-9b50eaabb3ab,pending,100000.00,0.00,0.00,100000.00,EUR,2025-09-14 20:21:03.821234+00,,
